"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 03 14:51:40 UTC 2026","Fri Jul 03 14:52:03 UTC 2026","22172","tests.ui","test_login","","","","test_login_invalid_user",""
"passed","Fri Jul 03 14:51:25 UTC 2026","Fri Jul 03 14:51:39 UTC 2026","14046","tests.ui","test_login","","","","test_login_valid_user",""
